Date,Price
15-02-2021,2079
16-02-2021,2077
17-02-2021,2096.5
18-02-2021,2147
19-02-2021,2135
22-02-2021,2153.5
23-02-2021,2136.5
24-02-2021,2145.5
25-02-2021,2223
26-02-2021,2202.5
01-03-2021,2154.5
02-03-2021,2176
03-03-2021,2203
04-03-2021,2169
05-03-2021,2185
08-03-2021,2152.5
09-03-2021,2141
10-03-2021,2149.5
11-03-2021,2159
12-03-2021,2139
15-03-2021,2184.5
16-03-2021,2174.5
17-03-2021,2202.5
18-03-2021,2192
19-03-2021,2188
22-03-2021,2254
23-03-2021,2205
24-03-2021,2220.5
25-03-2021,2208
26-03-2021,2260.5
29-03-2021,2255.5
30-03-2021,2220.5
31-03-2021,2212.5
01-04-2021,2212.5
06-04-2021,2247
07-04-2021,2239.5
08-04-2021,2267.5
09-04-2021,2250
12-04-2021,2254
13-04-2021,2278
14-04-2021,2297.5
15-04-2021,2328
16-04-2021,2308.5
19-04-2021,2331
20-04-2021,2324
21-04-2021,2344
22-04-2021,2373.5
23-04-2021,2373.5
26-04-2021,2388
27-04-2021,2389
28-04-2021,2392.5
29-04-2021,2432
30-04-2021,2445
04-05-2021,2434.5
05-05-2021,2446
06-05-2021,2476.5
07-05-2021,2518.5
10-05-2021,2565
11-05-2021,2549.5
12-05-2021,2474
13-05-2021,2422.5
14-05-2021,2438
17-05-2021,2455
18-05-2021,2468
19-05-2021,2402.5
20-05-2021,2392
21-05-2021,2403
24-05-2021,2305
25-05-2021,2341
26-05-2021,2359.5
27-05-2021,2388
28-05-2021,2404.5
01-06-2021,2461.5
02-06-2021,2442
03-06-2021,2386.5
04-06-2021,2412.5
07-06-2021,2417.5
08-06-2021,2439
09-06-2021,2459
10-06-2021,2470
11-06-2021,2490
14-06-2021,2504
15-06-2021,2458.5
16-06-2021,2454.5
17-06-2021,2427.5
18-06-2021,2374
21-06-2021,2353.5
22-06-2021,2375.5
23-06-2021,2386.5
24-06-2021,2397.5
25-06-2021,2451
28-06-2021,2458
29-06-2021,2518.5
30-06-2021,2523
01-07-2021,2481
02-07-2021,2519.5
05-07-2021,2539.5
06-07-2021,2529.5
07-07-2021,2508.5
08-07-2021,2435
09-07-2021,2470
12-07-2021,2449
13-07-2021,2478
14-07-2021,2509
15-07-2021,2495
16-07-2021,2493
19-07-2021,2425
20-07-2021,2424.5
21-07-2021,2432
22-07-2021,2449
23-07-2021,2492
26-07-2021,2499.5
27-07-2021,2497.5
28-07-2021,2516
29-07-2021,2556.5
30-07-2021,2624
02-08-2021,2635
03-08-2021,2595.5
04-08-2021,2575.5
05-08-2021,2583.5
06-08-2021,2618.5
09-08-2021,2547
10-08-2021,2579
11-08-2021,2578
12-08-2021,2602
13-08-2021,2602.5
16-08-2021,2644
17-08-2021,2633
18-08-2021,2589.5
19-08-2021,2544
20-08-2021,2569
23-08-2021,2609
24-08-2021,2648.5
25-08-2021,2647.5
26-08-2021,2635
27-08-2021,2673.5
31-08-2021,2714
01-09-2021,2667.5
02-09-2021,2694.5
03-09-2021,2696
06-09-2021,2745.5
07-09-2021,2740.5
08-09-2021,2775
09-09-2021,2817
10-09-2021,2896.5
13-09-2021,2950
14-09-2021,2847
15-09-2021,2868
16-09-2021,2869
17-09-2021,2915
20-09-2021,2847
21-09-2021,2864
22-09-2021,2887
23-09-2021,2937
24-09-2021,2905.5
27-09-2021,2888
28-09-2021,2899
29-09-2021,2913
30-09-2021,2851
01-10-2021,2865
04-10-2021,2889
05-10-2021,2894.5
06-10-2021,2880
07-10-2021,2916
08-10-2021,2902
11-10-2021,3020
12-10-2021,3052
13-10-2021,3076
14-10-2021,3152
15-10-2021,3163
18-10-2021,3180
19-10-2021,3176
20-10-2021,3065
21-10-2021,3014
22-10-2021,2946
25-10-2021,2917
26-10-2021,2831
27-10-2021,2704
28-10-2021,2721
29-10-2021,2695
01-11-2021,2713
02-11-2021,2680
03-11-2021,2706
04-11-2021,2643
05-11-2021,2490.5
08-11-2021,2530.5
09-11-2021,2582
10-11-2021,2554
11-11-2021,2645.5
12-11-2021,2676
15-11-2021,2678
16-11-2021,2628.5
17-11-2021,2628
18-11-2021,2607.5
19-11-2021,2661
22-11-2021,2653.5
23-11-2021,2691
24-11-2021,2699
25-11-2021,2740.5
26-11-2021,2618.5
29-11-2021,2650
30-11-2021,2635
01-12-2021,2669.5
02-12-2021,2655
03-12-2021,2648
06-12-2021,2600.5
07-12-2021,2625
08-12-2021,2626
09-12-2021,2630.5
10-12-2021,2625
13-12-2021,2677
14-12-2021,2636
15-12-2021,2597
16-12-2021,2630
17-12-2021,2694
20-12-2021,2645.5
21-12-2021,2696
22-12-2021,2811
23-12-2021,2818
24-12-2021,2848
29-12-2021,2835
30-12-2021,2829.5
31-12-2021,2806
04-01-2022,2815.5
05-01-2022,2866
06-01-2022,2912.5
07-01-2022,2919.5
10-01-2022,2923
11-01-2022,2950
12-01-2022,3003
13-01-2022,2960
14-01-2022,2977.5
17-01-2022,3009
18-01-2022,3006
19-01-2022,3036
20-01-2022,3109.5
21-01-2022,3079.5
24-01-2022,3044.5
25-01-2022,3064
26-01-2022,3093
27-01-2022,3107
28-01-2022,3110
31-01-2022,3076
01-02-2022,3072
02-02-2022,3043
03-02-2022,3058.5
04-02-2022,3087
07-02-2022,3148
08-02-2022,3245
09-02-2022,3248
10-02-2022,3313
11-02-2022,3200
14-02-2022,3306
15-02-2022,3223
