Date,Price
24-06-2021,213.75
25-06-2021,214.17
28-06-2021,215.26
29-06-2021,214.36
30-06-2021,214.55
01-07-2021,213.59
02-07-2021,212.46
06-07-2021,217.58
07-07-2021,218.11
08-07-2021,216.32
09-07-2021,215.78
12-07-2021,217.33
13-07-2021,218.26
14-07-2021,217.94
15-07-2021,218.68
16-07-2021,219.77
19-07-2021,219.5
20-07-2021,219.36
21-07-2021,218.37
22-07-2021,213.81
23-07-2021,216.03
26-07-2021,215.16
27-07-2021,214.99
28-07-2021,214.44
29-07-2021,213.52
30-07-2021,211.99
02-08-2021,181.21
03-08-2021,181.01
04-08-2021,182.51
05-08-2021,171.91
06-08-2021,172.01
09-08-2021,173.52
10-08-2021,168.59
11-08-2021,169.06
12-08-2021,167.94
13-08-2021,167.95
16-08-2021,166.96
17-08-2021,167.34
18-08-2021,159.59
19-08-2021,160.38
20-08-2021,160.54
23-08-2021,159.4
24-08-2021,160.07
25-08-2021,159.92
26-08-2021,159.63
27-08-2021,159.68
30-08-2021,159.58
31-08-2021,159.25
01-09-2021,143.08
02-09-2021,140.54
03-09-2021,144.83
07-09-2021,138.99
08-09-2021,135.56
09-09-2021,133.82
10-09-2021,133.18
13-09-2021,129.66
14-09-2021,128.11
15-09-2021,124.16
16-09-2021,119.96
17-09-2021,123
20-09-2021,117.01
21-09-2021,119.01
22-09-2021,120.73
23-09-2021,120.45
24-09-2021,120.1
27-09-2021,120.23
28-09-2021,119.89
29-09-2021,119.7
30-09-2021,119.65
01-10-2021,115.76
04-10-2021,117.76
05-10-2021,117.85
06-10-2021,117.68
07-10-2021,118.1
08-10-2021,122.86
11-10-2021,130.24
12-10-2021,126.42
13-10-2021,122.29
14-10-2021,122.83
15-10-2021,123.19
18-10-2021,123.4
19-10-2021,123.3
20-10-2021,123.49
21-10-2021,122.89
22-10-2021,122.5
25-10-2021,122.06
26-10-2021,122.47
27-10-2021,122.36
28-10-2021,121.94
29-10-2021,121.23
01-11-2021,102.58
02-11-2021,99.4
03-11-2021,99.35
04-11-2021,97.17
05-11-2021,94.43
08-11-2021,94.36
09-11-2021,91.98
10-11-2021,92.19
11-11-2021,93.63
12-11-2021,93.4
15-11-2021,92.36
16-11-2021,92.01
17-11-2021,92.76
